single_class_test,protocol,seed,max_depth,mean_realised_depth,test_rows,accuracy,f1_macro,benign_recall,benign_precision,benign_f1,attack_recall,roc_auc,FP,FN
False,capture-aware,42,6,6.0,10054,0.6446190570917048,0.5574059940234743,0.8937112488928255,0.2261317794710892,0.3609372205329995,0.613109243697479,0.8234901117222797,120,3453
False,capture-aware,42,8,8.0,10054,0.7060871295006962,0.5956115032620168,0.816651904340124,0.25122615803814713,0.3842467180662638,0.6921008403361345,0.8269458359074364,207,2748
False,capture-aware,42,10,10.0,10054,0.7268748756713745,0.5996286480795802,0.7263064658990257,0.25176542830825915,0.3739170086639307,0.7269467787114846,0.8223947719034468,309,2437
False,capture-aware,42,12,12.0,10054,0.764869703600557,0.6255970795393404,0.6899911426040743,0.2789115646258503,0.3972463029066803,0.7743417366946779,0.8185223779502943,350,2014
False,capture-aware,42,16,16.0,10054,0.7971951462104635,0.6157332610290779,0.48981399468556247,0.2743055555555556,0.3516693163751987,0.836078431372549,0.8052468533914895,576,1463
False,capture-aware,42,20,20.0,10054,0.8343942709369405,0.6366499492186272,0.4304694419840567,0.3222811671087533,0.36860068259385664,0.8854901960784314,0.7831155704088544,643,1022
False,capture-aware,42,25,25.0,10054,0.8578675154167495,0.6394895841747217,0.354295837023915,0.36363636363636365,0.35890533871691344,0.9215686274509803,0.7685646800792948,729,700
False,capture-aware,42,30,30.0,10054,0.8727869504674757,0.6383218365607297,0.30115146147032773,0.40963855421686746,0.34711587544665645,0.9450980392156862,0.7239982334829413,789,490
False,capture-aware,42,None,56.7,10054,0.8832305550029839,0.5827403470007593,0.15411868910540302,0.44274809160305345,0.22864651773981604,0.9754621848739495,0.7090455101438272,955,219
False,random,42,6,6.0,25172,0.8766089305577626,0.5839339728631925,0.9734693877551021,0.13361344537815126,0.23497536945812808,0.8746860059962726,0.9597479944899117,13,3093
False,random,42,8,8.0,25172,0.8944064833942476,0.601584544481691,0.9530612244897959,0.15054803352675694,0.26002227171492204,0.8932420387326797,0.9658154583444268,23,2635
False,random,42,10,10.0,25172,0.9142698236135388,0.6261652250619684,0.9346938775510204,0.17724458204334365,0.2979830839297333,0.9138643545903897,0.968012920264127,32,2126
False,random,42,12,12.0,25172,0.9273399014778325,0.6442142384525795,0.9061224489795918,0.19937135159407274,0.32683106367316894,0.9277611214650352,0.9689278644769634,46,1783
False,random,42,16,16.0,25172,0.939853805815986,0.660450128364693,0.8408163265306122,0.22294372294372294,0.35243798118049613,0.9418199497609594,0.9701155018364205,78,1436
False,random,42,20,20.0,25172,0.9496265692038773,0.6757860331586658,0.7857142857142857,0.2487080103359173,0.3778213935230618,0.9528806417632283,0.9719336904196895,105,1163
False,random,42,25,25.0,25172,0.9615048466550135,0.6997526359860449,0.7142857142857143,0.2968617472434266,0.4194128220491312,0.9664127704399967,0.9723219350133702,140,829
False,random,42,30,30.0,25172,0.9701255363101859,0.7142187687206026,0.6122448979591837,0.3480278422273782,0.4437869822485207,0.9772303703103477,0.9739890178581765,190,562
False,random,42,None,61.1,25172,0.9800969331002701,0.6853014368609527,0.3142857142857143,0.4827586206896552,0.380716934487021,0.9933149663722551,0.9617093097671773,336,165
True,capture-aware,7,6,6.0,26786,0.8377510639886507,0.45585666111404544,,0.0,0.0,0.8377510639886507,,0,4346
True,capture-aware,7,8,8.0,26786,0.8476069588591055,0.45875934532228735,,0.0,0.0,0.8476069588591055,,0,4082
True,capture-aware,7,10,10.0,26786,0.860150825057866,0.46240918396018144,,0.0,0.0,0.860150825057866,,0,3746
True,capture-aware,7,12,12.0,26786,0.8762413200925857,0.4670195196689018,,0.0,0.0,0.8762413200925857,,0,3315
True,capture-aware,7,16,16.0,26786,0.8999104009557232,0.47365938967597415,,0.0,0.0,0.8999104009557232,,0,2681
True,capture-aware,7,20,20.0,26786,0.9153289031583663,0.47789646031498517,,0.0,0.0,0.9153289031583663,,0,2268
True,capture-aware,7,25,25.0,26786,0.9373926678115433,0.4838423740244725,,0.0,0.0,0.9373926678115433,,0,1677
True,capture-aware,7,30,30.0,26786,0.9485178824759203,0.48678941620523825,,0.0,0.0,0.9485178824759203,,0,1379
True,capture-aware,7,None,62.5,26786,0.9831628462629732,0.4957549744921971,,0.0,0.0,0.9831628462629732,,0,451
False,random,7,6,6.0,25172,0.8742650564118862,0.5826772313059382,0.9857142857142858,0.13265586377368854,0.23384168482207698,0.8720525079004943,0.9614234698011771,7,3158
False,random,7,8,8.0,25172,0.8932146829810901,0.6021937826269501,0.9734693877551021,0.15133248730964466,0.26194398682042835,0.891621424519893,0.9674160215905502,13,2675
False,random,7,10,10.0,25172,0.9139520101700301,0.6265958683931211,0.9428571428571428,0.1776923076923077,0.29902912621359223,0.9133781703265538,0.9696274985158151,28,2138
False,random,7,12,12.0,25172,0.9265056411886223,0.6449309768546742,0.9244897959183673,0.19991173874669022,0.32873730043541366,0.9265456608054453,0.9710028294601205,37,1813
False,random,7,16,16.0,25172,0.9413236929922135,0.6639590208186535,0.8428571428571429,0.2277992277992278,0.3586626139817629,0.9432785025524674,0.9719471266344638,77,1400
False,random,7,20,20.0,25172,0.951652629906245,0.6839205488626434,0.8040816326530612,0.2600660066006601,0.39301745635910224,0.9545822866866542,0.9734988234010078,96,1121
False,random,7,25,25.0,25172,0.9617034800572064,0.7004351415839707,0.7142857142857143,0.2981260647359455,0.4206730769230769,0.9666153472165951,0.9735624077035401,140,824
False,random,7,30,30.0,25172,0.9714762434450978,0.7198813010021196,0.610204081632653,0.3619854721549637,0.45440729483282677,0.9786484077465359,0.9744939301382979,191,527
False,random,7,None,61.7,25172,0.9809709200699189,0.692385501605593,0.3183673469387755,0.5182724252491694,0.3944374209860936,0.9941252734786484,0.9668917198189543,334,145
False,capture-aware,123,6,6.0,19215,0.9054905022118137,0.7352047380194517,0.8813108945969885,0.37168472170339933,0.5228586442459274,0.9069998894172288,0.9465947901508265,134,1682
False,capture-aware,123,8,8.0,19215,0.9126203486859225,0.7291949781870575,0.7626217891939769,0.3789612676056338,0.5063216700970303,0.9219838549154041,0.9340431069076816,268,1411
False,capture-aware,123,10,10.0,19215,0.9212073900598491,0.736855430576966,0.7165633303808681,0.4038941587618572,0.5166028097062579,0.9339820855910649,0.9420883708160608,320,1194
False,capture-aware,123,12,12.0,19215,0.9204787926099401,0.6939772027893776,0.5119574844995571,0.37170418006430866,0.4307004470938897,0.9459803162667256,0.9319242567765249,551,977
False,capture-aware,123,16,16.0,19215,0.9280249804839968,0.6988796721953344,0.4738706820194863,0.4040785498489426,0.4362005707297187,0.9563750967599248,0.9179063233657674,594,789
False,capture-aware,123,20,20.0,19215,0.9387457715326568,0.7001979476149682,0.39769707705934454,0.47463002114164904,0.4327710843373494,0.9725201813557448,0.8291780232756654,680,497
False,capture-aware,123,25,25.0,19215,0.9467083008066615,0.6947983489091006,0.325066430469442,0.5834658187599364,0.41751990898748575,0.9855136569722437,0.8197926901164175,762,262
False,capture-aware,123,30,30.0,19215,0.9480614103564923,0.6698357202615122,0.25597874224977857,0.6465324384787472,0.366751269035533,0.9912639610748646,0.7794195472139949,840,158
False,capture-aware,123,None,57.7,19215,0.9462919594067135,0.5928057059949876,0.12400354295837024,0.7650273224043715,0.21341463414634146,0.9976224704191087,0.7501467743867578,989,43
False,random,123,6,6.0,25172,0.8798267916732878,0.5864976115328356,0.9653061224489796,0.13588049411088768,0.23822714681440443,0.8781298111984442,0.9618376772960218,17,3008
False,random,123,8,8.0,25172,0.8973859844271412,0.6064449920097215,0.9653061224489796,0.1556433037183284,0.2680646075375461,0.8960375982497366,0.9684843867050101,17,2566
False,random,123,10,10.0,25172,0.9163356109963452,0.6306759703700484,0.9469387755102041,0.18238993710691823,0.3058668424522083,0.9157280609350944,0.970781979431429,26,2080
False,random,123,12,12.0,25172,0.9302002224694105,0.6494463172514822,0.9061224489795918,0.2060324825986079,0.3357277882797732,0.9306782270480513,0.9720274131855157,46,1711
False,random,123,16,16.0,25172,0.9450977276338789,0.6749386276514948,0.8591836734693877,0.2427912341407151,0.37859712230215825,0.9468033384652783,0.9731544428807906,69,1313
False,random,123,20,20.0,25172,0.9542348641347529,0.6918028772574227,0.8081632653061225,0.2723521320495186,0.4074074074074074,0.9571347540717932,0.9721748808104393,94,1058
False,random,123,25,25.0,25172,0.9640473542030827,0.7001019952789418,0.6653061224489796,0.3055295220243674,0.4187540141297367,0.9699781217081274,0.9744548204177547,164,741
False,random,123,30,30.0,25172,0.9728269505800096,0.7224621645879112,0.5918367346938775,0.37467700258397935,0.4588607594936709,0.9803905680252816,0.9734616981060311,200,484
False,random,123,None,62.0,25172,0.981924360400445,0.7048605272813824,0.3346938775510204,0.5597269624573379,0.41890166028097064,0.9947735191637631,0.9634850812539586,326,129
True,capture-aware,2024,6,6.0,20095,0.8794725055984076,0.4679358186824825,,0.0,0.0,0.8794725055984076,,0,2422
True,capture-aware,2024,8,8.0,20095,0.9087335157999502,0.4760923975388466,,0.0,0.0,0.9087335157999502,,0,1834
True,capture-aware,2024,10,10.0,20095,0.9254540930579747,0.4806419931768841,,0.0,0.0,0.9254540930579747,,0,1498
True,capture-aware,2024,12,12.0,20095,0.9479472505598407,0.4866390762313509,,0.0,0.0,0.9479472505598407,,0,1046
True,capture-aware,2024,16,16.0,20095,0.9618810649415277,0.4902851055194805,,0.0,0.0,0.9618810649415277,,0,766
True,capture-aware,2024,20,20.0,20095,0.9689474993779548,0.4921144416923621,,0.0,0.0,0.9689474993779548,,0,624
True,capture-aware,2024,25,25.0,20095,0.9765613336650908,0.49407084770512855,,0.0,0.0,0.9765613336650908,,0,471
True,capture-aware,2024,30,30.0,20095,0.98397611346106,0.49596167352262466,,0.0,0.0,0.98397611346106,,0,322
True,capture-aware,2024,None,62.3,20095,0.995222692211993,0.49880281338853694,,0.0,0.0,0.995222692211993,,0,96
False,random,2024,6,6.0,25172,0.8754568568250437,0.5836940997373077,0.9836734693877551,0.13355500138542534,0.23517931202732373,0.8733084839154039,0.9581223365288097,8,3127
False,random,2024,8,8.0,25172,0.8948037501986335,0.6038977313784776,0.9714285714285714,0.15305466237942122,0.2644444444444444,0.8932825540879994,0.963196636729402,14,2634
False,random,2024,10,10.0,25172,0.9127602097568727,0.6261684882374537,0.9551020408163265,0.17713853141559424,0.2988505747126437,0.9119196175350458,0.9665388228056802,22,2174
False,random,2024,12,12.0,25172,0.9265850945494994,0.6436087445344821,0.9122448979591836,0.19849023090586146,0.32603938730853393,0.9268697836480025,0.9684936060154553,43,1805
False,random,2024,16,16.0,25172,0.9402907993008104,0.6622298917192528,0.8469387755102041,0.22517634291915356,0.35576510930132876,0.9421440726035167,0.969780133915652,75,1428
False,random,2024,20,20.0,25172,0.9491101223581757,0.6701358969847622,0.7571428571428571,0.2420091324200913,0.36678200692041524,0.952921157118548,0.9698333826683578,119,1162
False,random,2024,25,25.0,25172,0.9585253456221198,0.6818489210796569,0.6673469387755102,0.2706953642384106,0.38515901060070673,0.9643059719633741,0.970805916564827,163,881
False,random,2024,30,30.0,25172,0.9693310027014143,0.7066182040589165,0.5918367346938775,0.33642691415313225,0.4289940828402367,0.976825216757151,0.9721939809065187,200,572
False,random,2024,None,60.1,25172,0.981249006832989,0.7017038344812072,0.33877551020408164,0.5286624203821656,0.4129353233830846,0.9940037274126894,0.9603602724616302,324,148
True,capture-aware,31337,6,6.0,40326,0.8803749442047314,0.46819116948884315,,0.0,0.0,0.8803749442047314,,0,4824
True,capture-aware,31337,8,8.0,40326,0.8948817140306502,0.47226257312237446,,0.0,0.0,0.8948817140306502,,0,4239
True,capture-aware,31337,10,10.0,40326,0.9253087338193721,0.48060278207109736,,0.0,0.0,0.9253087338193721,,0,3012
True,capture-aware,31337,12,12.0,40326,0.9402618657937807,0.48460565162378744,,0.0,0.0,0.9402618657937807,,0,2409
