protocol,max_depth,realised_depth,acc_mean,acc_std,f1_mean,f1_std,benrec_mean,benrec_std,benprec_mean
capture-aware,6,6.0,0.8295416146190616,0.10619451744174889,0.5369188762656594,0.11809979636209911,0.8875110717449071,0.008768374611702096,0.1195633002348977
capture-aware,8,8.0,0.8539859333752648,0.08663501719713236,0.5463841594865165,0.1161423439462476,0.7896368467670505,0.03820506080813059,0.12603748512875618
capture-aware,10,10.0,0.8717991835332872,0.08561838503574914,0.5520276075729418,0.11689317420751014,0.7214348981399469,0.006889437194908775,0.13113191741402325
capture-aware,12,12.0,0.8899597865313409,0.07526616116102344,0.5515677059705516,0.10199124033982794,0.6009743135518157,0.12588880692515148,0.1301231489380318
capture-aware,16,16.0,0.9098885556854304,0.06817669509664351,0.5537970840766342,0.09919237711395779,0.4818423383525244,0.011273624500759843,0.13567682108089962
capture-aware,20,20.0,0.9259682366776207,0.056275384470191245,0.5599737210455332,0.10169538100823831,0.4140832595217006,0.02317356147378411,0.15938223765008047
capture-aware,25,25.0,0.9400259556046819,0.04966092265171888,0.5615116863499954,0.0984924891100739,0.3396811337466785,0.020668311584726384,0.18942043647926002
capture-aware,30,30.0,0.9480498134143828,0.046003465178114294,0.5575227507268249,0.08893038290517159,0.2785651018600531,0.031941936085486185,0.21123419853912292
capture-aware,None,59.3,0.9603714731965827,0.047461772654116254,0.5337173157824995,0.04948821261260636,0.13906111603188664,0.02129462405699082,0.24155508280148502
random,6,6.0,0.8758938503098681,0.0025244422160046773,0.5836687765668694,0.0018428246986130481,0.9783673469387756,0.008730305973962234,0.13345818724685687
random,8,8.0,0.8952169076751947,0.0016323267101947913,0.6039619413219199,0.0021171684221183637,0.966938775510204,0.008339925200694898,0.1530951962478781
random,10,10.0,0.914516129032258,0.0013537416488469496,0.6278174240140479,0.0021143327084710956,0.9461224489795919,0.007851177168029135,0.17908724640891432
random,12,12.0,0.92752264420785,0.0015336248170132053,0.6454499060899701,0.002308563553345193,0.9134693877551021,0.007982696822697127,0.20079674795765853
random,16,16.0,0.9420467185761957,0.0022555870190103904,0.6658945315572566,0.005757925367607233,0.8444897959183674,0.009723370815976816,0.23053109638625197
random,20,20.0,0.951708247258859,0.0023637541779192757,0.6812645045151222,0.008420476324719242,0.7844897959183673,0.022290722319858222,0.2575103192910827
random,25,25.0,0.9621802002224694,0.002557824463162672,0.698561335747316,0.010406485139880224,0.6926530612244898,0.024557728908557286,0.29818306009452666
random,30,30.0,0.9713411727316066,0.0016062553657175843,0.7170721440003789,0.006716832695707303,0.5987755102040817,0.011508467085609497,0.3593212297962506
random,None,61.0,0.9811536627999364,0.000687856889020582,0.6959121737418871,0.007729887641515385,0.32448979591836735,0.011362784413938808,0.5266560155802271
