task,protocol,seed,test_rows,test_frac,n_scored_families,accuracy,f1_macro_all,f1_macro_scored,benign_recall,benign_precision
binary,random record,42,25172,0.2,2,0.961465119974575,0.6992687713581293,0.6992687713581293,0.7122448979591837,0.29626485568760613
binary,capture-aware (file-proportion),42,10054,0.0799,2,0.8586632186194549,0.6417891399788088,0.6417891399788088,0.3587245349867139,0.367513611615245
binary,capture-aware (size-matched),42,26627,0.2116,1,0.9959064107860442,0.498974503716248,0.997949007432496,,
binary,random record,7,25172,0.2,2,0.9615445733354521,0.7002359336059361,0.7002359336059361,0.7163265306122449,0.29745762711864404
binary,capture-aware (file-proportion),7,26786,0.2128,1,0.9372060031359666,0.4837926382732704,0.9675852765465408,,
binary,capture-aware (size-matched),7,31152,0.2475,1,0.9752503852080123,0.4937350689873726,0.9874701379747453,,
binary,random record,123,25172,0.2,2,0.9645638010487844,0.7038574955361182,0.7038574955361182,0.6755102040816326,0.31109022556390975
binary,capture-aware (file-proportion),123,19215,0.1527,2,0.9467083008066615,0.6954579837587993,0.6954579837587993,0.32683790965456155,0.5829383886255924
binary,capture-aware (size-matched),123,35799,0.2844,1,0.9595240090505321,0.4896719839199418,0.9793439678398836,,
binary,random record,2024,25172,0.2,2,0.9582075321786112,0.6805004092537682,0.6805004092537682,0.6653061224489796,0.2685337726523888
binary,capture-aware (file-proportion),2024,20095,0.1597,1,0.9763125155511321,0.4940071511305837,0.9880143022611674,,
binary,capture-aware (size-matched),2024,25204,0.2003,2,0.9598079669893668,0.6805844078904133,0.6805844078904133,0.5579322638146168,0.29035250463821893
binary,random record,31337,25172,0.2,2,0.9648021611314158,0.7105356825796993,0.7105356825796993,0.7081632653061225,0.318348623853211
binary,capture-aware (file-proportion),31337,40326,0.3204,1,0.9818479392947478,0.4954204204204204,0.9908408408408408,,
binary,capture-aware (size-matched),31337,30322,0.2409,2,0.9742101444495745,0.7108875066084795,0.7108875066084795,0.5365418894830659,0.36573511543134873
binary,random record,1,25172,0.2,2,0.9633322739551883,0.7068760295765874,0.7068760295765874,0.7183673469387755,0.3095866314863676
binary,capture-aware (file-proportion),1,32693,0.2598,2,0.9692594745052457,0.6870161045824658,0.6870161045824658,0.5721925133689839,0.2955801104972376
binary,capture-aware (size-matched),1,29481,0.2342,2,0.9510193005664666,0.7042854904113913,0.7042854904113913,0.2934322033898305,0.8343373493975904
binary,random record,99,25172,0.2,2,0.9610678531701891,0.693684820408363,0.693684820408363,0.6877551020408164,0.28951890034364264
binary,capture-aware (file-proportion),99,37442,0.2975,1,0.9909459964745473,0.4977262056475954,0.9954524112951908,,
binary,capture-aware (size-matched),99,25728,0.2044,2,0.9145289179104478,0.6206372285738087,0.6206372285738087,0.39149689991142606,0.2262026612077789
binary,random record,555,25172,0.2,2,0.9613856666136977,0.7007274371198422,0.7007274371198422,0.7224489795918367,0.29747899159663865
binary,capture-aware (file-proportion),555,21375,0.1698,2,0.9420818713450292,0.7190205630578497,0.7190205630578497,0.3230769230769231,0.853125
binary,capture-aware (size-matched),555,32390,0.2574,2,0.9658536585365853,0.587629343042671,0.587629343042671,0.5523012552301255,0.11671087533156499
binary,random record,8,25172,0.2,2,0.9665501350707135,0.7147671142632915,0.7147671142632915,0.6938775510204082,0.32945736434108525
binary,capture-aware (file-proportion),8,14603,0.116,2,0.8990618366089159,0.689053740163327,0.689053740163327,0.298728813559322,0.7899159663865546
binary,capture-aware (size-matched),8,26252,0.2086,2,0.9496038397074509,0.7030318341780681,0.7030318341780681,0.4662349676225717,0.4032
binary,random record,2718,25172,0.2,2,0.9615843000158907,0.7037986246855085,0.7037986246855085,0.736734693877551,0.3010842368640534
binary,capture-aware (file-proportion),2718,32718,0.26,2,0.9449538480347209,0.695723054117714,0.695723054117714,0.3863905325443787,0.460832745236415
binary,capture-aware (size-matched),2718,25701,0.2042,2,0.9484455857748726,0.5728931816963808,0.5728931816963808,0.5774058577405857,0.1013215859030837
binary,random record,31415,25172,0.2,2,0.9610281264897506,0.696736236616978,0.696736236616978,0.7061224489795919,0.29247675401521556
binary,capture-aware (file-proportion),31415,27820,0.221,1,0.9746944644140906,0.49359254405125963,0.9871850881025193,,
binary,capture-aware (size-matched),31415,31406,0.2495,1,0.9710246449722982,0.492649672062292,0.985299344124584,,
binary,random record,161803,25172,0.2,2,0.9632130939138726,0.7057484783148665,0.7057484783148665,0.7142857142857143,0.30809859154929575
binary,capture-aware (file-proportion),161803,30286,0.2406,2,0.9603777322855445,0.6833283998255515,0.6833283998255515,0.3356953055801594,0.4571773220747889
binary,capture-aware (size-matched),161803,29663,0.2357,1,0.9935272898897617,0.4983765684716069,0.9967531369432138,,
binary,random record,271828,25172,0.2,2,0.9624582869855395,0.7002454801095332,0.7002454801095332,0.6979591836734694,0.30026338893766463
binary,capture-aware (file-proportion),271828,42600,0.3385,1,0.96018779342723,0.48984479785399504,0.9796895957079901,,
binary,capture-aware (size-matched),271828,30374,0.2413,1,0.995127411602028,0.4987788778877888,0.9975577557755776,,
binary,random record,4,25172,0.2,2,0.961465119974575,0.6943101783596679,0.6943101783596679,0.6836734693877551,0.29130434782608694
binary,capture-aware (file-proportion),4,20768,0.165,2,0.9682684899845917,0.7365841424989984,0.7365841424989984,0.5632798573975044,0.4328767123287671
binary,capture-aware (size-matched),4,25223,0.2004,2,0.9449708599294295,0.5671985923094262,0.5671985923094262,0.5648535564853556,0.09513742071881606
binary,random record,77,25172,0.2,2,0.9649213411727317,0.7073923335152548,0.7073923335152548,0.6877551020408164,0.3158388003748828
binary,capture-aware (file-proportion),77,50695,0.4028,1,0.9697011539599566,0.49230877080537583,0.9846175416107517,,
binary,capture-aware (size-matched),77,32776,0.2604,1,0.9775750549182328,0.4943301911535554,0.9886603823071108,,
binary,random record,900,25172,0.2,2,0.9625774670268552,0.7010196792198599,0.7010196792198599,0.7,0.30140597539543057
binary,capture-aware (file-proportion),900,16427,0.1305,1,0.9715711937663603,0.4927903171025411,0.9855806342050822,,
binary,capture-aware (size-matched),900,30720,0.2441,1,0.9513020833333333,0.4875216869077806,0.9750433738155612,,
binary,random record,12321,25172,0.2,2,0.9629350071508025,0.6938678202916825,0.6938678202916825,0.6530612244897959,0.29547553093259465
binary,capture-aware (file-proportion),12321,22390,0.1779,2,0.9702545779365789,0.7357931224078058,0.7357931224078058,0.6076923076923076,0.40616966580976865
binary,capture-aware (size-matched),12321,34512,0.2742,1,0.9690542420027817,0.49214197421861205,0.9842839484372241,,
binary,random record,5150,25172,0.2,2,0.9631336405529954,0.6971847728519197,0.6971847728519197,0.6673469387755102,0.29945054945054944
binary,capture-aware (file-proportion),5150,23301,0.1851,2,0.9541650572936784,0.6943467256693515,0.6943467256693515,0.33215234720992026,0.5442670537010159
binary,capture-aware (size-matched),5150,35852,0.2849,1,0.9922180073636059,0.4980469023451173,0.9960938046902346,,
binary,random record,60606,25172,0.2,2,0.9626966470681709,0.6985701198685985,0.6985701198685985,0.6836734693877551,0.2993744414655943
binary,capture-aware (file-proportion),60606,36110,0.2869,2,0.983134865688175,0.7438508897705814,0.7438508897705814,0.5347593582887701,0.46296296296296297
binary,capture-aware (size-matched),60606,25271,0.2008,2,0.9337580626014008,0.6453562277612291,0.6453562277612291,0.35783879539415414,0.29859571322985956
binary,random record,24680,25172,0.2,2,0.963928174161767,0.7083461958101809,0.7083461958101809,0.7142857142857143,0.31305903398926654
binary,capture-aware (file-proportion),24680,12702,0.1009,1,0.939851991812313,0.48449675324675323,0.9689935064935065,,
binary,capture-aware (size-matched),24680,29727,0.2362,1,0.9836512261580381,0.4958791208791209,0.9917582417582418,,
multiclass,random record,42,25172,0.2,8,0.9132766566025743,0.6120049366775601,0.6120049366775601,,
multiclass,capture-aware (file-proportion),42,10054,0.0799,6,0.5382932166301969,0.2744913506797688,0.3659884675730251,,
multiclass,capture-aware (size-matched),42,26627,0.2116,3,0.9716828782814436,0.1972614465596995,0.5260305241591986,,
multiclass,random record,7,25172,0.2,8,0.9166931511202924,0.6241497021022244,0.6241497021022244,,
multiclass,capture-aware (file-proportion),7,26786,0.2128,5,0.8390203837825729,0.28137363349925937,0.450197813598815,,
multiclass,capture-aware (size-matched),7,31152,0.2475,5,0.8699601951720596,0.3130452147324035,0.5008723435718456,,
multiclass,random record,123,25172,0.2,8,0.9156602574288892,0.6096410504579207,0.6096410504579207,,
multiclass,capture-aware (file-proportion),123,19215,0.1527,6,0.7249024199843872,0.33850531365657766,0.45134041820877013,,
multiclass,capture-aware (size-matched),123,35799,0.2844,3,0.7971172379116735,0.23648946589015918,0.6306385757070911,,
multiclass,random record,2024,25172,0.2,8,0.9144287303352931,0.6140257162077872,0.6140257162077872,,
multiclass,capture-aware (file-proportion),2024,20095,0.1597,3,0.7924856929584474,0.23525828252820458,0.6273554200752122,,
multiclass,capture-aware (size-matched),2024,25204,0.2003,5,0.9064434216790985,0.3680050489229993,0.5888080782767988,,
multiclass,random record,31337,25172,0.2,8,0.9118862227872239,0.5949803111426506,0.5949803111426506,,
multiclass,capture-aware (file-proportion),31337,40326,0.3204,5,0.8523285225412885,0.2551023562113268,0.4081637699381229,,
multiclass,capture-aware (size-matched),31337,30322,0.2409,4,0.9307433546599828,0.3226096918758614,0.6452193837517228,,
multiclass,random record,1,25172,0.2,8,0.9167726044811696,0.6224547479150485,0.6224547479150485,,
multiclass,capture-aware (file-proportion),1,32693,0.2598,6,0.7925855687761906,0.24946239941662793,0.3326165325555039,,
multiclass,capture-aware (size-matched),1,29481,0.2342,5,0.8057392897120179,0.2682057705285408,0.4291292328456652,,
multiclass,random record,99,25172,0.2,8,0.9151040839027491,0.6191225364904285,0.6191225364904285,,
multiclass,capture-aware (file-proportion),99,37442,0.2975,4,0.7989156562149458,0.25292938135234366,0.5058587627046873,,
multiclass,capture-aware (size-matched),99,25728,0.2044,6,0.7162624378109452,0.32544327487129043,0.433924366495054,,
multiclass,random record,555,25172,0.2,8,0.916057524233275,0.6170019579555551,0.6170019579555551,,
multiclass,capture-aware (file-proportion),555,21375,0.1698,4,0.8946432748538011,0.3087316608564854,0.617463321712971,,
multiclass,capture-aware (size-matched),555,32390,0.2574,4,0.8901821549861069,0.282166993911853,0.564333987823706,,
multiclass,random record,8,25172,0.2,8,0.9156999841093278,0.6194025104571406,0.6194025104571406,,
multiclass,capture-aware (file-proportion),8,14603,0.116,5,0.5862494008080531,0.28099907504366745,0.4495985200698679,,
multiclass,capture-aware (size-matched),8,26252,0.2086,4,0.7276017065366448,0.23970147319857996,0.47940294639715997,,
multiclass,random record,2718,25172,0.2,8,0.9168917845224853,0.6298755871725996,0.6298755871725996,,
multiclass,capture-aware (file-proportion),2718,32718,0.26,6,0.7609878354422642,0.3140682048354555,0.41875760644727394,,
multiclass,capture-aware (size-matched),2718,25701,0.2042,6,0.8072448542858255,0.3254388520342867,0.43391846937904893,,
multiclass,random record,31415,25172,0.2,8,0.9163356109963452,0.6262678645875641,0.6262678645875641,,
multiclass,capture-aware (file-proportion),31415,27820,0.221,5,0.9254493170381021,0.3071055965974715,0.4913689545559545,,
multiclass,capture-aware (size-matched),31415,31406,0.2495,4,0.9135197096096287,0.2149314572284877,0.42986291445697544,,
multiclass,random record,161803,25172,0.2,8,0.9176068647703798,0.6271045682924505,0.6271045682924505,,
multiclass,capture-aware (file-proportion),161803,30286,0.2406,6,0.6279469061612626,0.2572664793360216,0.3430219724480288,,
multiclass,capture-aware (size-matched),161803,29663,0.2357,3,0.8688939082358493,0.247957520557629,0.6612200548203441,,
multiclass,random record,271828,25172,0.2,8,0.9152629906245034,0.6208284182213086,0.6208284182213086,,
multiclass,capture-aware (file-proportion),271828,42600,0.3385,5,0.7774413145539906,0.2750617473560265,0.4400987957696424,,
multiclass,capture-aware (size-matched),271828,30374,0.2413,3,0.9663528017383288,0.17934571299966476,0.4782552346657727,,
multiclass,random record,4,25172,0.2,8,0.9151438105831877,0.6191454151336804,0.6191454151336804,,
multiclass,capture-aware (file-proportion),4,20768,0.165,4,0.9029757318952234,0.3180621691998856,0.6361243383997712,,
multiclass,capture-aware (size-matched),4,25223,0.2004,5,0.844824168417714,0.26860803204197103,0.42977285126715364,,
multiclass,random record,77,25172,0.2,8,0.9134752900047672,0.6115827481221334,0.6115827481221334,,
multiclass,capture-aware (file-proportion),77,50695,0.4028,5,0.8407338001775323,0.2951119404031117,0.47217910464497875,,
multiclass,capture-aware (size-matched),77,32776,0.2604,4,0.8277092994874298,0.23138238741812267,0.4627647748362453,,
multiclass,random record,900,25172,0.2,8,0.9142300969331003,0.6090511603123631,0.6090511603123631,,
multiclass,capture-aware (file-proportion),900,16427,0.1305,4,0.9162354660010957,0.2982703018520083,0.5965406037040166,,
multiclass,capture-aware (size-matched),900,30720,0.2441,4,0.8467122395833333,0.16275433977429793,0.32550867954859586,,
multiclass,random record,12321,25172,0.2,8,0.9145876370570475,0.6150323544486335,0.6150323544486335,,
multiclass,capture-aware (file-proportion),12321,22390,0.1779,6,0.9202322465386333,0.40486059564780885,0.5398141275304119,,
multiclass,capture-aware (size-matched),12321,34512,0.2742,3,0.8516458043579045,0.19628688036900466,0.5234316809840124,,
multiclass,random record,5150,25172,0.2,8,0.9158986175115207,0.6145725176964607,0.6145725176964607,,
multiclass,capture-aware (file-proportion),5150,23301,0.1851,5,0.756147804815244,0.29647754582218366,0.47436407331549385,,
multiclass,capture-aware (size-matched),5150,35852,0.2849,3,0.7567499721075532,0.18711768623962335,0.49898049663899563,,
multiclass,random record,60606,25172,0.2,8,0.9173287780073097,0.6256418303134331,0.6256418303134331,,
multiclass,capture-aware (file-proportion),60606,36110,0.2869,4,0.9116865134311825,0.3067240235712384,0.6134480471424767,,
multiclass,capture-aware (size-matched),60606,25271,0.2008,5,0.6408927228839381,0.27710215811576344,0.4433634529852215,,
multiclass,random record,24680,25172,0.2,8,0.9156999841093278,0.6163373692385306,0.6163373692385306,,
multiclass,capture-aware (file-proportion),24680,12702,0.1009,4,0.8420721146276177,0.2973368350721281,0.5946736701442562,,
multiclass,capture-aware (size-matched),24680,29727,0.2362,4,0.8346620917011471,0.23389120482117712,0.46778240964235424,,
