task,seed,variant,depth,n_features,accuracy,f1_macro,benign_recall
binary,42,full,25,72,0.961465119974575,0.6992687713581293,0.7122448979591837
binary,42,no_ports,25,70,0.9649610678531702,0.7034812634575117,0.6653061224489796
binary,42,no_timing_pair,25,70,0.9621007468615922,0.6950376996737598,0.6755102040816326
binary,42,no_arbitrary_pair,25,70,0.9611870332115049,0.6951566234322357,0.6938775510204082
binary,7,full,25,72,0.9615445733354521,0.7002359336059361,0.7163265306122449
binary,7,no_ports,25,70,0.9632130939138726,0.6974673161047421,0.6673469387755102
binary,7,no_timing_pair,25,70,0.961941840139838,0.7036753591662498,0.7285714285714285
binary,7,no_arbitrary_pair,25,70,0.9615048466550135,0.6990560518817056,0.710204081632653
binary,123,full,25,72,0.9645638010487844,0.7038574955361182,0.6755102040816326
binary,123,no_ports,25,70,0.9664309550293978,0.7056877391292136,0.6469387755102041
binary,123,no_timing_pair,25,70,0.9646432544096615,0.7070756402446168,0.6918367346938775
binary,123,no_arbitrary_pair,25,70,0.9636103607182583,0.7014656408216704,0.6816326530612244
binary,2024,full,25,72,0.9582075321786112,0.6805004092537682,0.6653061224489796
binary,2024,no_ports,25,70,0.9630939138725568,0.6906096975852718,0.6326530612244898
binary,2024,no_timing_pair,25,70,0.957651358652471,0.6809435945923901,0.6775510204081633
binary,2024,no_arbitrary_pair,25,70,0.9575719052915939,0.6799881840454902,0.673469387755102
binary,31337,full,25,72,0.9648021611314158,0.7105356825796993,0.7081632653061225
binary,31337,no_ports,25,70,0.966788495153345,0.7082485132782899,0.6530612244897959
binary,31337,no_timing_pair,25,70,0.9635309073573812,0.7051341495085309,0.7040816326530612
binary,31337,no_arbitrary_pair,25,70,0.9634117273160655,0.7047032511475806,0.7040816326530612
binary,1,full,25,72,0.9633322739551883,0.7068760295765874,0.7183673469387755
binary,1,no_ports,25,70,0.9659939615445733,0.7118582961986191,0.689795918367347
binary,1,no_timing_pair,25,70,0.9623788336246624,0.7055470145492821,0.7306122448979592
binary,1,no_arbitrary_pair,25,70,0.9621404735420308,0.7036814201324877,0.7244897959183674
binary,99,full,25,72,0.9610678531701891,0.693684820408363,0.6877551020408164
binary,99,no_ports,25,70,0.9652788812966788,0.7016473431956403,0.6489795918367347
binary,99,no_timing_pair,25,70,0.9603527729222946,0.692014159353139,0.6918367346938775
binary,99,no_arbitrary_pair,25,70,0.9611473065310663,0.6946666023708488,0.6918367346938775
binary,555,full,25,72,0.9613856666136977,0.7007274371198422,0.7224489795918367
binary,555,no_ports,25,70,0.9643651676465914,0.7067622979162256,0.6959183673469388
binary,555,no_timing_pair,25,70,0.9621404735420308,0.7040251985998611,0.726530612244898
binary,555,no_arbitrary_pair,25,70,0.9609486731288733,0.7009480933946485,0.7326530612244898
binary,8,full,25,72,0.9665501350707135,0.7147671142632915,0.6938775510204082
binary,8,no_ports,25,70,0.9696090894644843,0.7210988519093848,0.6591836734693878
binary,8,no_timing_pair,25,70,0.9675035754012394,0.7171314721332402,0.6857142857142857
binary,8,no_arbitrary_pair,25,70,0.9665104083902749,0.7131500129062242,0.6857142857142857
binary,2718,full,25,72,0.9615843000158907,0.7037986246855085,0.736734693877551
binary,2718,no_ports,25,70,0.9651199745749245,0.712444896045672,0.7122448979591837
binary,2718,no_timing_pair,25,70,0.9621404735420308,0.7043681511658717,0.7285714285714285
binary,2718,no_arbitrary_pair,25,70,0.9609486731288733,0.7036373504853288,0.7489795918367347
binary,31415,full,25,72,0.9610281264897506,0.696736236616978,0.7061224489795919
binary,31415,no_ports,25,70,0.9660336882250119,0.7086940927395393,0.6714285714285714
binary,31415,no_timing_pair,25,70,0.9621007468615922,0.7025065029853055,0.7183673469387755
binary,31415,no_arbitrary_pair,25,70,0.9615843000158907,0.6982768217594391,0.7040816326530612
binary,161803,full,25,72,0.9632130939138726,0.7057484783148665,0.7142857142857143
binary,161803,no_ports,25,70,0.9657953281423804,0.7107238792866938,0.6877551020408164
binary,161803,no_timing_pair,25,70,0.9624980136659781,0.7014483088405463,0.7040816326530612
binary,161803,no_arbitrary_pair,25,70,0.961941840139838,0.7016068216667508,0.7163265306122449
binary,271828,full,25,72,0.9624582869855395,0.7002454801095332,0.6979591836734694
binary,271828,no_ports,25,70,0.963451453996504,0.6997952489480239,0.6755102040816326
binary,271828,no_timing_pair,25,70,0.963650087398697,0.7037813363071317,0.6938775510204082
binary,271828,no_arbitrary_pair,25,70,0.9616637533767678,0.6974898084393203,0.6979591836734694
binary,4,full,25,72,0.961465119974575,0.6943101783596679,0.6836734693877551
binary,4,no_ports,25,70,0.9637295407595742,0.6955576510201975,0.6469387755102041
binary,4,no_timing_pair,25,70,0.9613459399332592,0.6931839587350198,0.6795918367346939
binary,4,no_arbitrary_pair,25,70,0.9608692197679962,0.69444137345056,0.6959183673469388
binary,77,full,25,72,0.9649213411727317,0.7073923335152548,0.6877551020408164
binary,77,no_ports,25,70,0.9647624344509773,0.7004762812572445,0.6530612244897959
binary,77,no_timing_pair,25,70,0.9642857142857143,0.7061084791824824,0.6938775510204082
binary,77,no_arbitrary_pair,25,70,0.9648418878118544,0.707457083897399,0.689795918367347
binary,42,full,None,72,0.9800969331002701,0.686824480043472,0.3183673469387755
binary,42,no_ports,None,70,0.9785078658827269,0.6774182988212738,0.3183673469387755
binary,42,no_timing_pair,None,70,0.980017479739393,0.6885878122600202,0.32448979591836735
binary,42,no_arbitrary_pair,None,70,0.9802558398220245,0.6893248833964183,0.3224489795918367
binary,7,full,None,72,0.9807722866677261,0.6933696198323778,0.32448979591836735
binary,7,no_ports,None,70,0.9782695058000953,0.6868206760779106,0.3489795918367347
binary,7,no_timing_pair,None,70,0.9812092801525505,0.6992315679693976,0.3326530612244898
binary,7,no_arbitrary_pair,None,70,0.9811695534721119,0.6952173386608549,0.3224489795918367
binary,123,full,None,72,0.9818449070395677,0.7035632109177841,0.3326530612244898
binary,123,no_ports,None,70,0.9801366597807087,0.6937461036941724,0.336734693877551
binary,123,no_timing_pair,None,70,0.9814873669156206,0.6958133358477031,0.3183673469387755
binary,123,no_arbitrary_pair,None,70,0.9818051803591292,0.7032875014412545,0.3326530612244898
binary,2024,full,None,72,0.981249006832989,0.7009720259522363,0.336734693877551
binary,2024,no_ports,None,70,0.9793023994914984,0.6907686633824534,0.34285714285714286
binary,2024,no_timing_pair,None,70,0.9811695534721119,0.697478066038597,0.32857142857142857
binary,2024,no_arbitrary_pair,None,70,0.9808517400286032,0.6938856370095269,0.32448979591836735
binary,31337,full,None,72,0.9816860003178134,0.69561055709552,0.3142857142857143
binary,31337,no_ports,None,70,0.9798982996980772,0.6885953472834052,0.32653061224489793
binary,31337,no_timing_pair,None,70,0.981725726998252,0.696659172513451,0.3163265306122449
binary,31337,no_arbitrary_pair,None,70,0.9816860003178134,0.69561055709552,0.3142857142857143
binary,1,full,None,72,0.9815270935960592,0.6881778496990159,0.2979591836734694
binary,1,no_ports,None,70,0.9796202129350071,0.6831557376777672,0.3163265306122449
binary,1,no_timing_pair,None,70,0.982202447163515,0.6999680840206515,0.3163265306122449
binary,1,no_arbitrary_pair,None,70,0.981924360400445,0.6972464111640873,0.3142857142857143
binary,99,full,None,72,0.9809311933894804,0.6874654681127121,0.30612244897959184
binary,99,no_ports,None,70,0.9794215795328143,0.6789165538856745,0.3081632653061224
binary,99,no_timing_pair,None,70,0.9808517400286032,0.6845709819437882,0.3
binary,99,no_arbitrary_pair,None,70,0.9807722866677261,0.6832621478439698,0.2979591836734694
binary,555,full,None,72,0.9820038137613221,0.7126566782942915,0.3551020408163265
binary,555,no_ports,None,70,0.9806531066264103,0.7082723017196892,0.3693877551020408
binary,555,no_timing_pair,None,70,0.9818846337200063,0.7103980300339092,0.3510204081632653
binary,555,no_arbitrary_pair,None,70,0.9818846337200063,0.708244934892623,0.3448979591836735
