task,depth,removed,mean_f1_drop,sd,ci_lo,ci_hi,n_seeds,mean_benign_recall_drop,benign_ci_lo,benign_ci_hi
binary,25,no_ports,-0.00372455618458171,0.005243588017305061,-0.006281937682598699,-0.0011407241021066212,15,0.034693877551020415,0.03034013605442175,0.03959523809523808
binary,25,no_timing_pair,-0.00021973331559221876,0.0033518687187057646,-0.001870315800546479,0.0014566979589294062,15,-0.0002721088435374034,-0.006530612244897912,0.006938775510204083
binary,25,no_arbitrary_pair,0.0015306590314569637,0.002140756201650763,0.0004833670846451282,0.0026117244709404053,15,-0.0016326530612244873,-0.0055782312925170075,0.0025850340136054657
binary,None,no_ports,0.008254373515492963,0.00679806116639956,0.005113785281977194,0.011702407393413761,15,-0.012108843537414959,-0.017551020408163264,-0.006666666666666662
binary,None,no_timing_pair,-0.0012748845480283766,0.005682458150803968,-0.004150606312303943,0.0014581832256470233,15,-0.00217687074829932,-0.007346938775510199,0.002721088435374149
binary,None,no_arbitrary_pair,-0.0004289737095520163,0.004415991661483117,-0.0026312303233411018,0.001701637639111136,15,-0.0006802721088435381,-0.004897959183673454,0.0034013605442176796
multiclass,25,no_ports,0.024993269718604716,0.0022639001861492355,0.023861437477160737,0.026087575623332224,15,,,
multiclass,25,no_timing_pair,0.0026801576248143793,0.002778107839081258,0.0013664712578933729,0.004124578892823984,15,,,
multiclass,25,no_arbitrary_pair,0.0005675576934569771,0.00227787701770739,-0.0005753592755531795,0.0016334697404621745,15,,,
multiclass,None,no_ports,0.02374332746499303,0.002825478325658673,0.022405844529643823,0.025139258057048194,15,,,
multiclass,None,no_timing_pair,0.000746771224356794,0.0017830777978013429,-0.00015634121679740116,0.0015851760131339722,15,,,
multiclass,None,no_arbitrary_pair,6.91819055142151e-05,0.0018493606413081578,-0.0008284820987020334,0.0009976249299172325,15,,,
