seed,A_full,B_balanced,C_size_control,B_minus_C,A_minus_B
1,0.6224547479150485,0.6127947460143104,0.5452392977657944,0.067555448248516,0.009660001900738124
4,0.6191454151336804,0.61094704362746,0.5423997269740094,0.0685473166534506,0.008198371506220381
7,0.6241497021022244,0.6156208256582656,0.5532285941729406,0.06239223148532502,0.008528876443958833
8,0.6194025104571406,0.6119952977152764,0.5455775059927226,0.0664177917225538,0.0074072127418641776
42,0.6120049366775601,0.6114639734252646,0.5487578042330866,0.06270616919217797,0.0005409632522954677
77,0.6115827481221334,0.6092063437965392,0.5500440575360399,0.05916228626049924,0.0023764043255942724
99,0.6191225364904285,0.6094550866505113,0.550100438767929,0.05935464788258227,0.009667449839917186
123,0.6096410504579207,0.613025113527344,0.5459096940445644,0.06711541948277966,-0.003384063069423293
555,0.6170019579555551,0.6110984197326903,0.5413761740698355,0.06972224566285479,0.005903538222864824
2024,0.6140257162077872,0.6059526949858368,0.5512681174141355,0.05468457757170131,0.008073021221950416
2718,0.6298755871725996,0.6152812943663076,0.5600805948685702,0.05520069949773743,0.014594292806291986
31337,0.5949803111426506,0.5947739757259383,0.5542661847352698,0.04050779099066848,0.00020633541671233324
31415,0.6262678645875641,0.6181091683712865,0.5526314183631081,0.06547775000817835,0.008158696216277628
161803,0.6271045682924505,0.6213946183835819,0.5459775385222162,0.0754170798613657,0.005709949908868639
271828,0.6208284182213086,0.6182899241292626,0.5554578909324976,0.062832033196765,0.002538494092045984
