seed,arm,train_n,accuracy,f1_macro
42,A_full,100686,0.9132766566025743,0.6120049366775601
42,B_balanced,20126,0.9007627522644208,0.6114639734252646
42,C_size_control,20126,0.9014381058318767,0.5487578042330866
7,A_full,100686,0.9166931511202924,0.6241497021022244
7,B_balanced,20126,0.899888765294772,0.6156208256582656
7,C_size_control,20126,0.901795645955824,0.5532285941729406
123,A_full,100686,0.9156602574288892,0.6096410504579207
123,B_balanced,20126,0.9050929604322263,0.613025113527344
123,C_size_control,20126,0.9029079930081042,0.5459096940445644
2024,A_full,100686,0.9144287303352931,0.6140257162077872
2024,B_balanced,20126,0.8969887176227554,0.6059526949858368
2024,C_size_control,20126,0.9017559192753853,0.5512681174141355
31337,A_full,100686,0.9118862227872239,0.5949803111426506
31337,B_balanced,20126,0.8984188781185444,0.5947739757259383
31337,C_size_control,20126,0.9017161925949467,0.5542661847352698
1,A_full,100686,0.9167726044811696,0.6224547479150485
1,B_balanced,20126,0.8997298585730177,0.6127947460143104
1,C_size_control,20126,0.9006832989035436,0.5452392977657944
99,A_full,100686,0.9151040839027491,0.6191225364904285
99,B_balanced,20126,0.898736691562053,0.6094550866505113
99,C_size_control,20126,0.9033449864929286,0.550100438767929
555,A_full,100686,0.916057524233275,0.6170019579555551
555,B_balanced,20126,0.9015572858731924,0.6110984197326903
555,C_size_control,20126,0.9019148259971397,0.5413761740698355
8,A_full,100686,0.9156999841093278,0.6194025104571406
8,B_balanced,20126,0.902550452884157,0.6119952977152764
8,C_size_control,20126,0.9012791991101223,0.5455775059927226
2718,A_full,100686,0.9168917845224853,0.6298755871725996
2718,B_balanced,20126,0.8998093119338948,0.6152812943663076
2718,C_size_control,20126,0.903980613379946,0.5600805948685702
31415,A_full,100686,0.9163356109963452,0.6262678645875641
31415,B_balanced,20126,0.9025901795645955,0.6181091683712865
31415,C_size_control,20126,0.90302717304942,0.5526314183631081
161803,A_full,100686,0.9176068647703798,0.6271045682924505
161803,B_balanced,20126,0.9034244398538058,0.6213946183835819
161803,C_size_control,20126,0.9033052598124901,0.5459775385222162
271828,A_full,100686,0.9152629906245034,0.6208284182213086
271828,B_balanced,20126,0.9020340060384554,0.6182899241292626
271828,C_size_control,20126,0.901795645955824,0.5554578909324976
4,A_full,100686,0.9151438105831877,0.6191454151336804
4,B_balanced,20126,0.8997695852534562,0.61094704362746
4,C_size_control,20126,0.9005243921817893,0.5423997269740094
77,A_full,100686,0.9134752900047672,0.6115827481221334
77,B_balanced,20126,0.900643572223105,0.6092063437965392
77,C_size_control,20126,0.9009613856666137,0.5500440575360399
