protocol,seed,family,in_train,in_test,scored,recall,precision,support
capture-aware (file-proportion),42,Benign,True,True,True,0.24534986713906112,0.3825966850828729,1129
capture-aware (file-proportion),42,Brute Force,True,False,False,,,0
capture-aware (file-proportion),42,DDOS,True,True,True,0.9038669259019226,0.8341307814992025,4629
capture-aware (file-proportion),42,DOS,True,True,True,0.7397660818713451,0.29567588624853913,1026
capture-aware (file-proportion),42,Mirai,True,True,True,0.3469387755102041,0.19101123595505617,196
capture-aware (file-proportion),42,Recon,False,True,False,,,2717
capture-aware (file-proportion),42,Spoofing,True,True,True,0.31092436974789917,0.07034220532319392,119
capture-aware (file-proportion),42,Web-Based,True,True,True,0.36554621848739494,0.1851063829787234,238
capture-aware (size-matched),42,Benign,True,False,False,,,0
capture-aware (size-matched),42,Brute Force,True,False,False,,,0
capture-aware (size-matched),42,DDOS,True,True,True,0.38934426229508196,0.18886679920477137,244
capture-aware (size-matched),42,DOS,True,True,True,0.978419452887538,0.9982943091952241,26320
capture-aware (size-matched),42,Mirai,True,True,True,0.4126984126984127,0.2826086956521739,63
capture-aware (size-matched),42,Recon,True,False,False,,,0
capture-aware (size-matched),42,Spoofing,True,False,False,,,0
capture-aware (size-matched),42,Web-Based,True,False,False,,,0
capture-aware (file-proportion),7,Benign,True,False,False,,,0
capture-aware (file-proportion),7,Brute Force,False,True,False,,,2000
capture-aware (file-proportion),7,DDOS,True,True,True,0.8612215395735453,0.7529225908372827,2767
capture-aware (file-proportion),7,DOS,True,True,True,0.9929866746818956,0.9671155347384855,19962
capture-aware (file-proportion),7,Mirai,True,True,True,0.26199261992619927,0.19346049046321526,271
capture-aware (file-proportion),7,Recon,True,False,False,,,0
capture-aware (file-proportion),7,Spoofing,True,True,True,0.15336134453781514,0.15614973262032086,952
capture-aware (file-proportion),7,Web-Based,True,True,True,0.06235011990407674,0.1640378548895899,834
capture-aware (size-matched),7,Benign,True,False,False,,,0
capture-aware (size-matched),7,Brute Force,True,False,False,,,0
capture-aware (size-matched),7,DDOS,True,True,True,0.8754229467856044,0.5902115304852759,3251
capture-aware (size-matched),7,DOS,True,True,True,0.9196115457243054,0.9889759210908036,25949
capture-aware (size-matched),7,Mirai,True,True,True,0.2459016393442623,0.26717557251908397,427
capture-aware (size-matched),7,Recon,True,False,False,,,0
capture-aware (size-matched),7,Spoofing,True,True,True,0.13455328310010764,0.5208333333333334,929
capture-aware (size-matched),7,Web-Based,True,True,True,0.27181208053691275,0.6113207547169811,596
capture-aware (file-proportion),123,Benign,True,True,True,0.2187776793622675,0.6382428940568475,1129
capture-aware (file-proportion),123,Brute Force,True,False,False,,,0
capture-aware (file-proportion),123,DDOS,True,True,True,0.5303965966790174,0.8716734325665314,7287
capture-aware (file-proportion),123,DOS,True,True,True,0.9821280991735537,0.7378346915017462,9680
capture-aware (file-proportion),123,Mirai,True,True,True,0.28217821782178215,0.3877551020408163,404
capture-aware (file-proportion),123,Recon,True,False,False,,,0
capture-aware (file-proportion),123,Spoofing,True,True,True,0.3277310924369748,0.11818181818181818,119
capture-aware (file-proportion),123,Web-Based,True,True,True,0.2634228187919463,0.6796536796536796,596
capture-aware (size-matched),123,Benign,True,False,False,,,0
capture-aware (size-matched),123,Brute Force,True,False,False,,,0
capture-aware (size-matched),123,DDOS,True,True,True,0.567615033368458,0.8875869644818748,8541
capture-aware (size-matched),123,DOS,True,True,True,0.9790003326679974,0.8430796777081468,24048
capture-aware (size-matched),123,Mirai,True,True,True,0.29411764705882354,0.29292929292929293,493
capture-aware (size-matched),123,Recon,False,True,False,,,2717
capture-aware (size-matched),123,Spoofing,True,False,False,,,0
capture-aware (size-matched),123,Web-Based,True,False,False,,,0
capture-aware (file-proportion),2024,Benign,True,False,False,,,0
capture-aware (file-proportion),2024,Brute Force,True,False,False,,,0
capture-aware (file-proportion),2024,DDOS,True,True,True,0.6388702084734365,0.9862079193237432,10409
capture-aware (file-proportion),2024,DOS,True,True,True,0.9793265132139812,0.7401143593460578,9384
capture-aware (file-proportion),2024,Mirai,True,True,True,0.2814569536423841,0.2478134110787172,302
capture-aware (file-proportion),2024,Recon,True,False,False,,,0
capture-aware (file-proportion),2024,Spoofing,True,False,False,,,0
capture-aware (file-proportion),2024,Web-Based,True,False,False,,,0
capture-aware (size-matched),2024,Benign,True,True,True,0.42245989304812837,0.4030612244897959,561
capture-aware (size-matched),2024,Brute Force,True,False,False,,,0
capture-aware (size-matched),2024,DDOS,True,True,True,0.8131325598617626,0.9,4051
capture-aware (size-matched),2024,DOS,True,True,True,0.9783705839942322,0.9825196524617295,19418
capture-aware (size-matched),2024,Mirai,True,True,True,0.27854671280276816,0.40759493670886077,578
capture-aware (size-matched),2024,Recon,True,False,False,,,0
capture-aware (size-matched),2024,Spoofing,True,False,False,,,0
capture-aware (size-matched),2024,Web-Based,True,True,True,0.26174496644295303,0.6070038910505836,596
capture-aware (file-proportion),31337,Benign,True,False,False,,,0
capture-aware (file-proportion),31337,Brute Force,True,False,False,,,0
capture-aware (file-proportion),31337,DDOS,True,True,True,0.8442171518489379,0.4787328970850684,3813
capture-aware (file-proportion),31337,DOS,True,True,True,0.8923831506058858,0.9918547973319651,34660
capture-aware (file-proportion),31337,Mirai,True,True,True,0.45555555555555555,0.10199004975124377,90
capture-aware (file-proportion),31337,Recon,True,False,False,,,0
capture-aware (file-proportion),31337,Spoofing,True,True,True,0.14531754574811626,0.531496062992126,929
capture-aware (file-proportion),31337,Web-Based,True,True,True,0.05515587529976019,0.35384615384615387,834
capture-aware (size-matched),31337,Benign,True,True,True,0.40819964349376114,0.4654471544715447,561
capture-aware (size-matched),31337,Brute Force,True,False,False,,,0
capture-aware (size-matched),31337,DDOS,True,True,True,0.8739659367396594,0.9014555797222688,6165
capture-aware (size-matched),31337,DOS,True,True,True,0.9778551229062432,0.9835893396350269,22985
capture-aware (size-matched),31337,Mirai,True,True,True,0.21112929623567922,0.4056603773584906,611
capture-aware (size-matched),31337,Recon,True,False,False,,,0
capture-aware (size-matched),31337,Spoofing,True,False,False,,,0
capture-aware (size-matched),31337,Web-Based,True,False,False,,,0
capture-aware (file-proportion),1,Benign,True,True,True,0.45454545454545453,0.3488372093023256,561
capture-aware (file-proportion),1,Brute Force,True,False,False,,,0
capture-aware (file-proportion),1,DDOS,True,True,True,0.0909861542808703,0.2197952218430034,3539
capture-aware (file-proportion),1,DOS,True,True,True,0.9659484417083494,0.880413817289146,25990
capture-aware (file-proportion),1,Mirai,True,True,True,0.24173553719008264,0.2903225806451613,484
capture-aware (file-proportion),1,Recon,True,False,False,,,0
capture-aware (file-proportion),1,Spoofing,True,True,True,0.012759170653907496,0.7741935483870968,1881
capture-aware (file-proportion),1,Web-Based,True,True,True,0.3739495798319328,0.2018140589569161,238
capture-aware (size-matched),1,Benign,True,True,True,0.15095338983050846,0.8715596330275229,1888
capture-aware (size-matched),1,Brute Force,True,False,False,,,0
capture-aware (size-matched),1,DDOS,True,True,True,0.8975552968568102,0.5159261241970021,4295
capture-aware (size-matched),1,DOS,True,True,True,0.8493216211515046,0.9859162039374053,22996
capture-aware (size-matched),1,Mirai,True,True,True,0.2677595628415301,0.14454277286135694,183
capture-aware (size-matched),1,Recon,True,False,False,,,0
capture-aware (size-matched),1,Spoofing,True,True,True,0.2857142857142857,0.08651399491094147,119
capture-aware (size-matched),1,Web-Based,True,False,False,,,0
