protocol,family,draws_scored,draws_total,mean_recall,sd,ci_lo,ci_hi,mean_support
capture-aware (file-proportion),DOS,20,20,0.929428541062731,0.07569969193122478,0.8941303553152984,0.958569222139829,19072.2
capture-aware (file-proportion),DDOS,20,20,0.6945976784874829,0.23255407962541724,0.5905602708842069,0.7878907454198545,5553.8
capture-aware (file-proportion),Benign,11,20,0.2871522515549195,0.11437808266023476,0.22498144338131362,0.35379714127692785,1089.7272727272727
capture-aware (file-proportion),Mirai,20,20,0.286215468404607,0.06281893504493312,0.2611375098337715,0.3146629363831817,347.9
capture-aware (file-proportion),Web-Based,13,20,0.2654368871596432,0.09921522239514331,0.20938658219942743,0.31149808787738115,550.0
capture-aware (file-proportion),Spoofing,14,20,0.21699425027812638,0.10572473309802918,0.1638906113019216,0.2698669053197167,596.9285714285714
capture-aware (file-proportion),Brute Force,0,20,,,,,
capture-aware (file-proportion),Recon,0,20,,,,,
capture-aware (size-matched),DOS,20,20,0.9331302244780895,0.06054979646041593,0.9061531202470555,0.9574114231314024,23470.65
capture-aware (size-matched),DDOS,20,20,0.7142248506257542,0.19813060986837444,0.6273008726874092,0.7969553324239753,3828.75
capture-aware (size-matched),Benign,9,20,0.36777629694027064,0.12158695708078458,0.29122134475874084,0.43970970117553804,785.1111111111111
capture-aware (size-matched),Mirai,20,20,0.2853153401541634,0.0675459044027378,0.25800965774863266,0.31495859272840043,342.35
capture-aware (size-matched),Web-Based,9,20,0.16804238534976965,0.1472270062557437,0.08003934693775946,0.2619890327238441,888.8888888888889
capture-aware (size-matched),Spoofing,5,20,0.16390439395834092,0.06988626153175755,0.12298065118782868,0.2267005725864081,795.4
capture-aware (size-matched),Brute Force,0,20,,,,,
capture-aware (size-matched),Recon,0,20,,,,,
