protocol,seed,max_depth,single_class_test,mean_realised_depth,test_rows,accuracy,f1_macro,benign_recall,benign_precision,attack_recall,roc_auc,FP,FN
random,42,6,False,6.0,25172,0.8766089305577626,0.5839339728631925,0.9734693877551021,0.13361344537815126,0.8746860059962726,0.9597479944899117,13,3093
random,42,10,False,10.0,25172,0.9142698236135388,0.6261652250619684,0.9346938775510204,0.17724458204334365,0.9138643545903897,0.968012920264127,32,2126
random,42,12,False,12.0,25172,0.9273399014778325,0.6442142384525795,0.9061224489795918,0.19937135159407274,0.9277611214650352,0.9689278644769634,46,1783
random,42,20,False,20.0,25172,0.9496265692038773,0.6757860331586658,0.7857142857142857,0.2487080103359173,0.9528806417632283,0.9719336904196895,105,1163
random,42,25,False,25.0,25172,0.9615048466550135,0.6997526359860449,0.7142857142857143,0.2968617472434266,0.9664127704399967,0.97232193501337,140,829
random,42,30,False,30.0,25172,0.9701255363101859,0.7142187687206026,0.6122448979591837,0.3480278422273782,0.9772303703103477,0.9739890178581765,190,562
random,42,None,False,61.1,25172,0.9800969331002701,0.6853014368609527,0.3142857142857143,0.4827586206896552,0.9933149663722551,0.9617093097671773,336,165
capture-aware (file-proportion),42,6,False,6.0,10054,0.6446190570917048,0.5574059940234743,0.8937112488928255,0.2261317794710892,0.613109243697479,0.8234901117222797,120,3453
capture-aware (file-proportion),42,10,False,10.0,10054,0.7268748756713745,0.5996286480795802,0.7263064658990257,0.25176542830825915,0.7269467787114846,0.8223947719034468,309,2437
capture-aware (file-proportion),42,12,False,12.0,10054,0.764869703600557,0.6255970795393404,0.6899911426040743,0.2789115646258503,0.7743417366946779,0.8185223779502943,350,2014
capture-aware (file-proportion),42,20,False,20.0,10054,0.8343942709369405,0.6366499492186272,0.4304694419840567,0.3222811671087533,0.8854901960784314,0.7831155704088544,643,1022
capture-aware (file-proportion),42,25,False,25.0,10054,0.8578675154167495,0.6394895841747217,0.354295837023915,0.36363636363636365,0.9215686274509803,0.7685646800792948,729,700
capture-aware (file-proportion),42,30,False,30.0,10054,0.8727869504674757,0.6383218365607297,0.30115146147032773,0.40963855421686746,0.9450980392156862,0.7239982334829413,789,490
capture-aware (file-proportion),42,None,False,56.7,10054,0.8832305550029839,0.5827403470007593,0.15411868910540302,0.44274809160305345,0.9754621848739495,0.7090455101438272,955,219
capture-aware (size-matched),42,6,True,6.0,26627,0.9811094002328463,0.4952323178707513,,,0.9811094002328463,,0,503
capture-aware (size-matched),42,10,True,10.0,26627,0.9879070116798738,0.49695836167157864,,,0.9879070116798738,,0,322
capture-aware (size-matched),42,12,True,12.0,26627,0.9897472490329365,0.49742360468847324,,,0.9897472490329365,,0,273
capture-aware (size-matched),42,20,True,20.0,26627,0.9944417320764637,0.4986065604639777,,,0.9944417320764637,,0,148
capture-aware (size-matched),42,25,True,25.0,26627,0.9959815225147407,0.49899335804466854,,,0.9959815225147407,,0,107
capture-aware (size-matched),42,30,True,30.0,26627,0.9964697487512675,0.4991158765989466,,,0.9964697487512675,,0,94
capture-aware (size-matched),42,None,True,59.3,26627,0.9984977654260713,0.49962415905588753,,,0.9984977654260713,,0,40
random,7,6,False,6.0,25172,0.8742650564118862,0.5826772313059382,0.9857142857142858,0.13265586377368854,0.8720525079004943,0.9614234698011771,7,3158
random,7,10,False,10.0,25172,0.9139520101700301,0.6265958683931211,0.9428571428571428,0.1776923076923077,0.9133781703265538,0.9696274985158151,28,2138
random,7,12,False,12.0,25172,0.9265056411886223,0.6449309768546742,0.9244897959183673,0.19991173874669022,0.9265456608054453,0.9710028294601205,37,1813
random,7,20,False,20.0,25172,0.951652629906245,0.6839205488626434,0.8040816326530612,0.2600660066006601,0.9545822866866542,0.9734987820588084,96,1121
random,7,25,False,25.0,25172,0.9617034800572064,0.7004351415839707,0.7142857142857143,0.2981260647359455,0.9666153472165951,0.9735624077035401,140,824
random,7,30,False,30.0,25172,0.9714762434450978,0.7198813010021196,0.610204081632653,0.3619854721549637,0.9786484077465359,0.9744939301382979,191,527
random,7,None,False,61.7,25172,0.9809709200699189,0.692385501605593,0.3183673469387755,0.5182724252491694,0.9941252734786484,0.9668917198189543,334,145
capture-aware (file-proportion),7,6,True,6.0,26786,0.8377510639886507,0.45585666111404544,,,0.8377510639886507,,0,4346
capture-aware (file-proportion),7,10,True,10.0,26786,0.860150825057866,0.46240918396018144,,,0.860150825057866,,0,3746
capture-aware (file-proportion),7,12,True,12.0,26786,0.8762413200925857,0.4670195196689018,,,0.8762413200925857,,0,3315
capture-aware (file-proportion),7,20,True,20.0,26786,0.9153289031583663,0.47789646031498517,,,0.9153289031583663,,0,2268
capture-aware (file-proportion),7,25,True,25.0,26786,0.9373926678115433,0.4838423740244725,,,0.9373926678115433,,0,1677
capture-aware (file-proportion),7,30,True,30.0,26786,0.9485178824759203,0.48678941620523825,,,0.9485178824759203,,0,1379
capture-aware (file-proportion),7,None,True,62.5,26786,0.9831628462629732,0.4957549744921971,,,0.9831628462629732,,0,451
capture-aware (size-matched),7,6,True,6.0,31152,0.8842128916281459,0.469274409254306,,,0.8842128916281459,,0,3607
capture-aware (size-matched),7,10,True,10.0,31152,0.9192668207498716,0.478967703089197,,,0.9192668207498716,,0,2515
capture-aware (size-matched),7,12,True,12.0,31152,0.9358628659476117,0.48343448413093226,,,0.9358628659476117,,0,1998
capture-aware (size-matched),7,20,True,20.0,31152,0.9622496147919877,0.4903808402041618,,,0.9622496147919877,,0,1176
capture-aware (size-matched),7,25,True,25.0,31152,0.9751219825372368,0.4937021567065936,,,0.9751219825372368,,0,775
capture-aware (size-matched),7,30,True,30.0,31152,0.9818952234206472,0.4954324586977648,,,0.9818952234206472,,0,564
capture-aware (size-matched),7,None,True,58.8,31152,0.9934835644581407,0.49836556577188773,,,0.9934835644581407,,0,203
random,123,6,False,6.0,25172,0.8798267916732878,0.5864976115328356,0.9653061224489796,0.13588049411088768,0.8781298111984442,0.9618376772960218,17,3008
random,123,10,False,10.0,25172,0.9163356109963452,0.6306759703700484,0.9469387755102041,0.18238993710691823,0.9157280609350944,0.970781979431429,26,2080
