protocol,max_depth,realised_depth,draws_total,draws_with_benign,benign_recall_mean,benign_recall_sd,benign_ci_lo,benign_ci_hi,f1_macro_mean,f1_macro_sd,f1_ci_lo,f1_ci_hi,accuracy_mean
capture-aware (file-proportion),6,6.0,20,11,0.9125235376810571,0.03081450573039386,0.8959396898191611,0.9305459345305271,0.6474469928948581,0.0929135882237257,0.59764409189916,0.7033206426211551,0.8503733620318219
capture-aware (file-proportion),10,10.0,20,11,0.7799585747102085,0.09794091894066376,0.726749701014205,0.8361567002445957,0.6793938098251907,0.07595601492207338,0.6388192655302514,0.7241909336685572,0.8940947390299698
capture-aware (file-proportion),12,12.0,20,11,0.6895746126749767,0.1447558537305568,0.6089183736975684,0.7713248686423483,0.6914315148518508,0.0625894254724175,0.6591372447914713,0.7286677198910492,0.9126877540427817
capture-aware (file-proportion),20,20.0,20,11,0.5140589950867253,0.12940079120337236,0.443299223640556,0.5889805768488042,0.706774265362048,0.0364723999436245,0.6859866801360263,0.7267897385289454,0.9373361740817026
capture-aware (file-proportion),25,25.0,20,11,0.4222154886026795,0.12437687316512676,0.3542316379346787,0.4941564659035436,0.7018184354166297,0.03074243515742887,0.6841131302745609,0.7186304963678749,0.945118357454768
capture-aware (file-proportion),30,30.0,20,11,0.3249751949926714,0.11031321334708108,0.2642864911082592,0.3890168099486126,0.6804141911820257,0.03751996068475589,0.6601390286669971,0.7022418532120996,0.9482957703068802
capture-aware (file-proportion),None,58.720000000000006,20,11,0.16354879932821606,0.077269338768895,0.12111113719200142,0.2080998035290707,0.6102146343164137,0.05272437579305715,0.5808642190358245,0.6400426761055901,0.9480297025406231
capture-aware (size-matched),6,6.0,20,9,0.956088672093926,0.03342509124171649,0.9344722900640657,0.9752710986575223,0.5914728618440428,0.07815916969504573,0.5456525133048393,0.6407357865077274,0.8530639051574631
capture-aware (size-matched),10,10.0,20,9,0.8650678678021475,0.0878793377361615,0.8098781787047924,0.9170811928708539,0.6242695438063264,0.0843129396401571,0.5752168165991022,0.6778779336485016,0.894016078511195
capture-aware (size-matched),12,12.0,20,9,0.7820826537885668,0.12596644474027335,0.7003960517736992,0.8547772807837368,0.6352300785483259,0.08550122564036683,0.58618151927227,0.6898529950444929,0.9110899607977933
capture-aware (size-matched),20,20.0,20,9,0.5726018419432769,0.11342415609524314,0.4994804609814326,0.6364179373502638,0.6394836269111388,0.06841780305385421,0.5982963640210915,0.6816854289391064,0.9365931379958394
capture-aware (size-matched),25,25.0,20,9,0.4782468077662624,0.10757657740064339,0.40987539623398905,0.5404705142587827,0.6432713543190166,0.058718644777666695,0.6074144704341532,0.6787943392894995,0.9490295481441717
capture-aware (size-matched),30,30.0,20,9,0.3853608268124269,0.09827334652991809,0.32188206166282735,0.4412031335613153,0.6379311383433726,0.047608782554672956,0.6092836000694709,0.6670980928763856,0.9569344633453036
capture-aware (size-matched),None,58.565,20,9,0.21074309963305657,0.07013259153207987,0.16535356716077942,0.24979627679618333,0.6102036541243474,0.030630992319550496,0.5904073001614413,0.6280435611064273,0.9668248928849857
random,6,6.0,20,20,0.9774489795918369,0.0069594372353175464,0.9744897959183675,0.9804081632653062,0.5830287297982656,0.0033493020554413015,0.5816930643685689,0.5845496765348681,0.8753138407754649
random,10,10.0,20,20,0.9413265306122451,0.008424264770223427,0.9376530612244898,0.9448979591836734,0.626128470957408,0.0027609105610554383,0.6249161183407306,0.6272962099977138,0.9137335134276181
random,12,12.0,20,20,0.9093877551020408,0.00996277514436254,0.9048979591836733,0.9134693877551022,0.6439815524256025,0.0030122649673951086,0.6426205252953014,0.6452517487375466,0.9269704433497538
random,20,20.0,20,20,0.7856122448979591,0.01675688188769664,0.7785688775510202,0.7926530612244898,0.6820909057505109,0.005636311074968385,0.6797073874903704,0.6845907492913768,0.9519605116796441
random,25,25.0,20,20,0.6948979591836736,0.021224283234556288,0.6859183673469387,0.7040816326530612,0.7003959863137006,0.007291281843193761,0.6972045283601598,0.7034628902002438,0.9626231527093596
random,30,30.0,20,20,0.6029591836734693,0.02039177645007209,0.5945918367346938,0.6118367346938776,0.7215825866056961,0.008665612568359222,0.7178133219209992,0.7252675629702394,0.9721237883362465
random,None,60.644999999999996,20,20,0.32295918367346943,0.018383749687433223,0.31551020408163266,0.33122448979591834,0.6970141620698318,0.00948405650319273,0.6931017229807892,0.7012159921390009,0.9814198315588749
