protocol,seed,n_scored_families,unscored,accuracy,f1_macro_all8,f1_macro_scored,inflation
random,42,8,-,0.9132766566025743,0.6120049366775601,0.6120049366775601,0.0
capture-aware,42,6,"Brute Force,Recon",0.5382932166301969,0.2744913506797688,0.3659884675730251,0.09149711689325629
random,7,8,-,0.9166931511202924,0.6241497021022244,0.6241497021022244,0.0
capture-aware,7,5,"Benign,Brute Force,Recon",0.8390203837825729,0.28137363349925937,0.450197813598815,0.16882418009955563
random,123,8,-,0.9156602574288892,0.6096410504579207,0.6096410504579207,0.0
capture-aware,123,6,"Brute Force,Recon",0.7249024199843872,0.33850531365657766,0.45134041820877013,0.11283510455219248
random,2024,8,-,0.9144287303352931,0.6140257162077872,0.6140257162077872,0.0
capture-aware,2024,3,"Benign,Brute Force,Recon,Spoofing,Web-Based",0.7924856929584474,0.23525828252820458,0.6273554200752122,0.3920971375470076
random,31337,8,-,0.9118862227872239,0.5949803111426506,0.5949803111426506,0.0
capture-aware,31337,5,"Benign,Brute Force,Recon",0.8523285225412885,0.2551023562113268,0.4081637699381229,0.1530614137267961
