protocol,seed,family,scored,recall,precision,f1,support
random,42,Benign,True,0.4857142857142857,0.4473684210526316,0.4657534246575342,490
random,42,Brute Force,True,0.755,0.6027944111776448,0.6703662597114317,400
random,42,DDOS,True,0.8818989710009355,0.8931785883467551,0.887502941868675,4276
random,42,DOS,True,0.9778240157695888,0.978788709235407,0.9783061246850006,18263
random,42,Mirai,True,0.355,0.4127906976744186,0.3817204301075269,400
random,42,Recon,True,0.5303867403314917,0.5363128491620112,0.5333333333333333,543
random,42,Spoofing,True,0.445,0.47214854111405835,0.45817245817245816,400
random,42,Web-Based,True,0.53,0.5120772946859904,0.5208845208845209,400
capture-aware,42,Benign,True,0.24534986713906112,0.3825966850828729,0.29897463572585,1129
capture-aware,42,Brute Force,False,,,,0
capture-aware,42,DDOS,True,0.9038669259019226,0.8341307814992025,0.8675997926386729,4629
capture-aware,42,DOS,True,0.7397660818713451,0.29567588624853913,0.42248817144447537,1026
capture-aware,42,Mirai,True,0.3469387755102041,0.19101123595505617,0.2463768115942029,196
capture-aware,42,Recon,False,,,,2717
capture-aware,42,Spoofing,True,0.31092436974789917,0.07034220532319392,0.11472868217054263,119
capture-aware,42,Web-Based,True,0.36554621848739494,0.1851063829787234,0.2457627118644068,238
random,7,Benign,True,0.5408163265306123,0.44166666666666665,0.48623853211009177,490
random,7,Brute Force,True,0.7525,0.5948616600790514,0.6644591611479028,400
random,7,DDOS,True,0.8854069223573433,0.898220640569395,0.8917677540925686,4276
random,7,DOS,True,0.9789191261019548,0.9812294182217344,0.9800729106707233,18263
random,7,Mirai,True,0.37,0.3978494623655914,0.38341968911917096,400
random,7,Recon,True,0.578268876611418,0.5637342908438061,0.5709090909090909,543
random,7,Spoofing,True,0.41,0.5015290519877675,0.4511691884456671,400
random,7,Web-Based,True,0.5475,0.584,0.5651612903225807,400
capture-aware,7,Benign,False,,,,0
capture-aware,7,Brute Force,False,,,,2000
capture-aware,7,DDOS,True,0.8612215395735453,0.7529225908372827,0.8034389750505732,2767
capture-aware,7,DOS,True,0.9929866746818956,0.9671155347384855,0.9798803697661773,19962
capture-aware,7,Mirai,True,0.26199261992619927,0.19346049046321526,0.2225705329153605,271
capture-aware,7,Recon,False,,,,0
capture-aware,7,Spoofing,True,0.15336134453781514,0.15614973262032086,0.15474297827239003,952
capture-aware,7,Web-Based,True,0.06235011990407674,0.1640378548895899,0.09035621198957429,834
random,123,Benign,True,0.4816326530612245,0.44528301886792454,0.4627450980392157,490
random,123,Brute Force,True,0.715,0.5596868884540117,0.6278814489571899,400
random,123,DDOS,True,0.8931244153414406,0.8962684815770946,0.8946936863066651,4276
random,123,DOS,True,0.9794666812681377,0.9802718106093818,0.9798690805510668,18263
random,123,Mirai,True,0.3575,0.43597560975609756,0.39285714285714285,400
random,123,Recon,True,0.5616942909760589,0.580952380952381,0.5711610486891385,543
random,123,Spoofing,True,0.43,0.45382585751978893,0.441591784338896,400
random,123,Web-Based,True,0.5,0.5128205128205128,0.5063291139240507,400
