feature,mean_abs_shap,rf_importance,shap_rank,rf_rank
Flow IAT Min,0.0259006223244307,0.05073185041783276,1,2
Fwd IAT Min,0.023211400856218863,0.03973050601431486,2,7
Total Length of Bwd Packet,0.019467676127089103,0.04794993494939543,3,4
Packet Length Variance,0.01577972694345967,0.04361650652886407,4,6
Packet Length Std,0.015083603144595876,0.04510179673933597,5,5
Src Port,0.014932889304671874,0.02239606370482102,6,13
Bwd Segment Size Avg,0.01464848863336839,0.05456132980341742,7,1
Bwd Packet Length Max,0.014522553044087423,0.04840887769738677,8,3
Flow IAT Max,0.013632915277058923,0.0240704690542753,9,10
Flow Bytes/s,0.012797761420418961,0.019221020866646163,10,16
Fwd Packet Length Mean,0.012682529809066168,0.02676599698634302,11,9
SYN Flag Count,0.012438513974197044,0.010952482458986005,12,32
Flow Packets/s,0.012016749076199498,0.018083473539867022,13,20
Fwd Packets/s,0.011971045980507774,0.018868421640107044,14,19
Flow IAT Std,0.011266618054682084,0.014749742984019345,15,28
Flow IAT Mean,0.011130649286674676,0.017227518010373092,16,21
Flow Duration,0.010784490885875962,0.012976435454794008,17,31
Total Length of Fwd Packet,0.010598907735830115,0.021676806356658095,18,15
Fwd IAT Max,0.01058495430717077,0.014089152763991654,19,30
Average Packet Size,0.010429831149595874,0.01912157286948282,20,17
Fwd Segment Size Avg,0.010324540882879468,0.02228080673769815,21,14
Bwd Packets/s,0.009567001754713119,0.010899127058998124,22,34
Fwd IAT Mean,0.009565395860630032,0.010446135488379743,23,36
Bwd Packet Length Mean,0.009508033546980835,0.032564223789563966,24,8
Fwd IAT Std,0.009478005433136314,0.009190896690165255,25,39
Fwd Packet Length Max,0.009426189361661376,0.022516224554833226,26,12
Dst Port,0.009410602492148055,0.017108926503389722,27,23
Packet Length Mean,0.009208639789385768,0.016777986314410145,28,24
Idle Std,0.00891090475759935,0.018868637795409152,29,18
Idle Mean,0.00868097578661328,0.02253513272453694,30,11
RST Flag Count,0.008573512552703293,0.016167743882552883,31,25
FWD Init Win Bytes,0.008379732678853625,0.015933934975984502,32,26
Active Max,0.00837452996605809,0.0028637851128370997,33,59
Packet Length Max,0.008157064979988584,0.01716922496040068,34,22
Fwd IAT Total,0.008057817835671676,0.009670850124279972,35,37
Fwd Packet Length Min,0.006866319318238904,0.010942787661911903,36,33
Fwd Header Length,0.006838965434658488,0.014646954533218274,37,29
Active Mean,0.00615449417371657,0.0030210381218748316,38,57
Idle Max,0.00606144284838841,0.014753391691556986,39,27
Packet Length Min,0.005415160731166698,0.007524736024758365,40,42
Idle Min,0.004490596240342181,0.008029113993136525,41,41
Active Min,0.0041584193927197526,0.0020072041363539926,42,62
Subflow Fwd Bytes,0.004105246987171825,0.005531998013334635,43,50
Active Std,0.004075256316112809,0.0016933726359550595,44,67
Bwd IAT Total,0.0037240098151354356,0.004981843909231986,45,52
Bwd Packet Length Min,0.0036907964330398263,0.008771446401234695,46,40
Bwd IAT Max,0.0033387994755215175,0.006960503647955146,47,43
Fwd Seg Size Min,0.003322160635013305,0.010761271006549436,48,35
Fwd Packet Length Std,0.0032295426902487654,0.005704247823139914,49,48
Total Fwd Packet,0.0031100310124343162,0.006851547494643096,50,45
Fwd Act Data Pkts,0.0029761102450952936,0.006343643300430827,51,47
Bwd Header Length,0.002850342675212441,0.006865904667459713,52,44
Bwd IAT Std,0.0025907534451069534,0.0025637040112991526,53,60
Bwd IAT Min,0.002399493553834619,0.0029053447661971576,54,58
Bwd IAT Mean,0.0023412702098347723,0.004171297250685035,55,53
ACK Flag Count,0.002109666846259958,0.009428451159273404,56,38
Bwd Init Win Bytes,0.0019351173458500351,0.0035734294104549998,57,54
Total Bwd packets,0.001830509898719778,0.0056995305819366095,58,49
Protocol,0.001645541834316239,0.006442676841541417,59,46
Subflow Bwd Bytes,0.0013569177744318759,0.005069578961683917,60,51
Down/Up Ratio,0.0012842572447320903,0.0033033559478730253,61,55
Subflow Fwd Packets,0.0012660216114380076,0.0023758477581922394,62,61
PSH Flag Count,0.0010467040896310748,0.0031564295978329716,63,56
FIN Flag Count,0.0008581497635314814,0.002004727239990341,64,63
Bwd Packet Length Std,0.0008294487087898924,0.0018015405752867869,65,65
Bwd Bulk Rate Avg,0.0007827140310641787,0.0019278159310809537,66,64
Subflow Bwd Packets,0.0006180778289318549,0.0011277933090002934,67,69
Bwd Bytes/Bulk Avg,0.0005860026448782105,0.0016477240037680034,68,68
Bwd Packet/Bulk Avg,0.00037479940242658174,0.0017578646020727892,69,66
Fwd PSH Flags,9.502987434209894e-05,0.00016311417895587284,70,70
CWR Flag Count,7.056002546809146e-05,0.00010248911228873806,71,71
ECE Flag Count,4.807060108476217e-05,9.268414348952237e-05,72,72
