feature,mean_abs_shap,rf_importance,shap_rank,rf_rank
Flow IAT Min,0.02648943980297331,0.05245052958517765,1,1
Fwd IAT Min,0.020924692952988672,0.03675404191948626,2,7
Src Port,0.018363394492632395,0.026032003056853135,3,9
Flow Bytes/s,0.01710378079586526,0.023044642091780084,4,12
Fwd Packets/s,0.015989232433379286,0.02064950156257334,5,15
Flow IAT Max,0.01589666987042813,0.02490251016737203,6,11
Flow Packets/s,0.015181839749777553,0.019999511455894715,7,17
Flow IAT Mean,0.014455757274201265,0.02006780573474175,8,16
Flow Duration,0.01429335118788624,0.016012460383242402,9,23
Packet Length Std,0.013005941743822903,0.045348230889170796,10,4
Total Length of Bwd Packet,0.012527210833842138,0.0473125323204798,11,3
Packet Length Variance,0.012262894170715008,0.04189208300911122,12,6
Bwd Segment Size Avg,0.012047335653925961,0.05110226011234966,13,2
Bwd Packets/s,0.011903174949449315,0.013196589494871907,14,32
Flow IAT Std,0.011692935096967078,0.014199113305642278,15,31
SYN Flag Count,0.011586760404719145,0.011284529702402058,16,35
Fwd IAT Max,0.011205621815645708,0.01686991552668613,17,22
Fwd Packet Length Mean,0.010689022822825809,0.025451970316656733,18,10
Fwd IAT Mean,0.01044499647537353,0.011623587995387768,19,34
Average Packet Size,0.009981069466722238,0.017451555228012585,20,21
Fwd IAT Std,0.009883403586924952,0.009898246965406862,21,37
Packet Length Mean,0.009881986627238321,0.015091945867383834,22,26
Bwd Packet Length Max,0.0098812185512771,0.04443711421122086,23,5
Total Length of Fwd Packet,0.00986635169016634,0.022952406549218464,24,13
Fwd Segment Size Avg,0.009386798993976903,0.019646732048466925,25,19
Fwd Packet Length Max,0.009265191906281682,0.02212015917731534,26,14
Fwd IAT Total,0.009250909138733403,0.009026480176888962,27,39
Dst Port,0.008813830113771248,0.015660463865558298,28,25
Bwd Packet Length Mean,0.008809244692671374,0.031394466829435676,29,8
Idle Mean,0.007915058648556534,0.01972991400867398,30,18
Idle Std,0.007568096377128004,0.016007294881749737,31,24
FWD Init Win Bytes,0.007486807994855726,0.01503119982066981,32,27
Packet Length Max,0.007484636813472609,0.017846094408849645,33,20
Fwd Header Length,0.006909390785571256,0.014344951661306149,34,29
Active Max,0.006853674175752018,0.0030742964100722494,35,57
Active Mean,0.006262123447172107,0.002594884333754695,36,59
RST Flag Count,0.006200941728217291,0.01426157396677081,37,30
Idle Max,0.006193310650978727,0.014760997981853654,38,28
Fwd Packet Length Min,0.005856170779023254,0.012326360406862224,39,33
Idle Min,0.005233385027732222,0.009296300454096563,40,38
Active Min,0.005014660288893537,0.002489277049869816,41,61
Packet Length Min,0.004819003808848875,0.007251044724002648,42,42
Active Std,0.004285325793642367,0.001996835517045695,43,65
Bwd IAT Total,0.004124061973879835,0.006086060424164397,44,49
Subflow Fwd Bytes,0.004057925711488095,0.00565246147777002,45,51
Fwd Seg Size Min,0.003783350453045252,0.011082906978688129,46,36
Bwd IAT Mean,0.0037227924718230333,0.0061545606422650475,47,47
Total Fwd Packet,0.0036440195501217074,0.006968366654379077,48,43
Bwd IAT Max,0.0035916737051056736,0.00544200325132461,49,52
Bwd Packet Length Min,0.0033278537132819604,0.008568993230666839,50,40
Bwd IAT Min,0.0030298987385557748,0.0033122189776812897,51,56
Fwd Packet Length Std,0.0030110678110411683,0.005697296956433368,52,50
Bwd IAT Std,0.0029998240336847996,0.003660703148460712,53,55
Fwd Act Data Pkts,0.0029606325038230297,0.006104244386712834,54,48
Bwd Header Length,0.0027154959908591496,0.006826445353446759,55,44
ACK Flag Count,0.0021318041469665684,0.00850335654255795,56,41
Bwd Init Win Bytes,0.0021165140075389854,0.003874224047213739,57,54
Total Bwd packets,0.0019061275888830908,0.004524044796692916,58,53
Protocol,0.0017199393439872397,0.0063165304626443715,59,46
Subflow Bwd Bytes,0.0013613329947293517,0.006434648336805338,60,45
Subflow Fwd Packets,0.0012182953501490856,0.002581345632249146,61,60
Down/Up Ratio,0.0010457387397988826,0.0027986706572035113,62,58
Bwd Packet Length Std,0.0009944970523526474,0.0011945565576289238,63,69
Bwd Bulk Rate Avg,0.0009401255356743686,0.002185425936933006,64,62
PSH Flag Count,0.0008709356986432102,0.002043408470226172,65,63
FIN Flag Count,0.0007955572833236192,0.002019340727340618,66,64
Bwd Bytes/Bulk Avg,0.0006628037767029521,0.0016701762285329473,67,66
Subflow Bwd Packets,0.0006564682309181778,0.0013766072196325218,68,68
Bwd Packet/Bulk Avg,0.000507131816457273,0.0015738790892276752,69,67
Fwd PSH Flags,0.00012914196587339257,0.0002469027418374631,70,70
ECE Flag Count,7.111049534992087e-05,0.00011142284797021826,71,71
CWR Flag Count,4.4346220953194934e-05,0.00010478304894529141,72,72
