task,seed,test_rows,test_pct_of_total,test_files,absent_from_train,largest_test_class_share
binary,42,10054,7.9883678431247915,25,-,0.8877
binary,7,26786,21.282715441211526,25,-,1.0
binary,123,19215,15.267205898711246,25,-,0.9412
binary,2024,20095,15.966406585199193,25,-,1.0
binary,31337,40326,32.04087145831016,25,-,1.0
multiclass,42,10054,7.9883678431247915,25,Recon,0.4604
multiclass,7,26786,21.282715441211526,25,Brute Force,0.7452
multiclass,123,19215,15.267205898711246,25,-,0.5038
multiclass,2024,20095,15.966406585199193,25,-,0.518
multiclass,31337,40326,32.04087145831016,25,-,0.8595
