seed,family,recall,support,in_train
42,Benign,0.24534986713906112,1129.0,True
42,Brute Force,0.0,0.0,True
42,DDOS,0.9038669259019226,4629.0,True
42,DOS,0.7397660818713451,1026.0,True
42,Mirai,0.3469387755102041,196.0,True
42,Recon,0.0,2717.0,False
42,Spoofing,0.31092436974789917,119.0,True
42,Web-Based,0.36554621848739494,238.0,True
7,Benign,0.0,0.0,True
7,Brute Force,0.0,2000.0,False
7,DDOS,0.8612215395735453,2767.0,True
7,DOS,0.9929866746818956,19962.0,True
7,Mirai,0.26199261992619927,271.0,True
7,Recon,0.0,0.0,True
7,Spoofing,0.15336134453781514,952.0,True
7,Web-Based,0.06235011990407674,834.0,True
123,Benign,0.2187776793622675,1129.0,True
123,Brute Force,0.0,0.0,True
123,DDOS,0.5303965966790174,7287.0,True
123,DOS,0.9821280991735537,9680.0,True
123,Mirai,0.28217821782178215,404.0,True
123,Recon,0.0,0.0,True
123,Spoofing,0.3277310924369748,119.0,True
123,Web-Based,0.2634228187919463,596.0,True
2024,Benign,0.0,0.0,True
2024,Brute Force,0.0,0.0,True
2024,DDOS,0.6388702084734365,10409.0,True
2024,DOS,0.9793265132139812,9384.0,True
2024,Mirai,0.2814569536423841,302.0,True
2024,Recon,0.0,0.0,True
2024,Spoofing,0.0,0.0,True
2024,Web-Based,0.0,0.0,True
31337,Benign,0.0,0.0,True
31337,Brute Force,0.0,0.0,True
31337,DDOS,0.8442171518489379,3813.0,True
31337,DOS,0.8923831506058858,34660.0,True
31337,Mirai,0.45555555555555555,90.0,True
31337,Recon,0.0,0.0,True
31337,Spoofing,0.14531754574811626,929.0,True
31337,Web-Based,0.05515587529976019,834.0,True
