task,protocol,seed,test_rows,accuracy,f1_macro,f1_macro_evaluable,n_absent_from_train
binary,random record split,42,25172,0.961465119974575,0.6992687713581293,0.6992687713581293,0
binary,capture-aware split,42,10054,0.8586632186194549,0.6417891399788088,0.6417891399788088,0
binary,random record split,7,25172,0.9615445733354521,0.7002359336059361,0.7002359336059361,0
binary,capture-aware split,7,26786,0.9372060031359666,0.4837926382732704,0.9675852765465408,0
binary,random record split,123,25172,0.9645638010487844,0.7038574955361182,0.7038574955361182,0
binary,capture-aware split,123,19215,0.9467083008066615,0.6954579837587993,0.6954579837587993,0
binary,random record split,2024,25172,0.9582075321786112,0.6805004092537682,0.6805004092537682,0
binary,capture-aware split,2024,20095,0.9763125155511321,0.4940071511305837,0.9880143022611674,0
binary,random record split,31337,25172,0.9648021611314158,0.7105356825796993,0.7105356825796993,0
binary,capture-aware split,31337,40326,0.9818479392947478,0.4954204204204204,0.9908408408408408,0
multiclass,random record split,42,25172,0.9132766566025743,0.6120049366775601,0.6120049366775601,0
multiclass,capture-aware split,42,10054,0.5382932166301969,0.2744913506797688,0.3659884675730251,1
multiclass,random record split,7,25172,0.9166931511202924,0.6241497021022244,0.6241497021022244,0
multiclass,capture-aware split,7,26786,0.8390203837825729,0.28137363349925937,0.450197813598815,1
multiclass,random record split,123,25172,0.9156602574288892,0.6096410504579207,0.6096410504579207,0
multiclass,capture-aware split,123,19215,0.7249024199843872,0.33850531365657766,0.45134041820877013,0
multiclass,random record split,2024,25172,0.9144287303352931,0.6140257162077872,0.6140257162077872,0
multiclass,capture-aware split,2024,20095,0.7924856929584474,0.23525828252820458,0.6273554200752122,0
multiclass,random record split,31337,25172,0.9118862227872239,0.5949803111426506,0.5949803111426506,0
multiclass,capture-aware split,31337,40326,0.8523285225412885,0.2551023562113268,0.4081637699381229,0
